date,temperature_2m,precipitation,humidity_2m
2022-07-25,22.56,0.46,66.14
2022-07-26,22.17,3.02,66.88
2022-07-27,22.57,1.34,67.85
2022-07-28,23.34,0.42,64.13
2022-07-29,22.65,7.81,74.07
2022-07-30,20.41,16.24,86.68
2022-07-31,19.91,2.69,85.59
2022-08-01,21.38,11.18,75.02
2022-08-02,19.63,2.33,85.99
2022-08-03,20.86,0.98,77.22
2022-08-04,21.6,0.98,74.08
2022-08-05,21.67,0.4,71.76
2022-08-06,21.87,0.45,70.61
2022-08-07,22.09,0.32,68.49
2022-08-08,22.12,0.17,66.66
2022-08-09,22.5,0.09,62.95
2022-08-10,22.05,0.51,65.73
2022-08-11,22.54,1.71,66.37
2022-08-12,22.36,4.52,70.16
2022-08-13,22.56,8.6,74.45
2022-08-14,22.49,2.1,74.7
2022-08-15,22.17,4.84,77.46
2022-08-16,20.43,28.95,86.38
2022-08-17,20.95,7.98,83.96
2022-08-18,21.14,4.82,76.52
2022-08-19,21.42,0.32,72.35
2022-08-20,22.46,1.55,75.79
2022-08-21,21.25,0.29,79.46
2022-08-22,22.22,0.73,70.09
2022-08-23,22.02,6.79,74.13
2022-08-24,21.41,1.44,74.39
2022-08-25,21.43,0.61,69.82
2022-08-26,22.53,0.31,66.81
2022-08-27,22.8,0.34,67.77
2022-08-28,21.6,3.87,77.34
2022-08-29,21.56,1.99,80.18
2022-08-30,21.82,4.69,78.15
2022-08-31,22.23,2.2,75.21
2022-09-01,22.11,4.43,73.93
2022-09-02,20.82,3.17,81.34
2022-09-03,21.35,5.06,74.5
2022-09-04,21.82,1.09,70.74
2022-09-05,22.37,4.43,74.65
2022-09-06,22.01,3.13,77.28
2022-09-07,21.2,6.96,79.96
2022-09-08,21.42,0.34,76.59
2022-09-09,22.68,1.24,71.06
2022-09-10,22.47,3.57,74.92
2022-09-11,22.92,1.67,74.37
2022-09-12,22.89,1.91,74.42
2022-09-13,21.9,5.48,81.38
2022-09-14,21.28,5.09,80.46
2022-09-15,21.21,4.05,80.56
2022-09-16,21.09,3.61,77.21
2022-09-17,21.82,0.99,76.62
2022-09-18,22.56,3.47,74.95
2022-09-19,23.06,3.73,73.72
2022-09-20,23.55,4.27,70.86
2022-09-21,23.77,2.87,70.86
2022-09-22,22.93,4.36,75.13
2022-09-23,22.8,3.86,75.15
2022-09-24,21.3,6.83,82.53
2022-09-25,21.96,13.51,78.02
2022-09-26,22.73,3.08,71.78
2022-09-27,22.38,2.95,72.75
2022-09-28,22.77,1.0,69.7
2022-09-29,21.98,2.64,73.84
2022-09-30,22.17,2.22,72.98
2022-10-01,21.41,8.81,78.97
2022-10-02,22.23,2.43,75.47
2022-10-03,21.31,34.34,81.62
2022-10-04,21.71,3.29,77.32
2022-10-05,21.64,14.16,77.1
2022-10-06,21.21,4.75,80.69
2022-10-07,20.34,4.75,86.34
2022-10-08,20.51,8.39,82.49
2022-10-09,21.2,2.57,75.0
2022-10-10,22.32,1.1,72.62
2022-10-11,21.4,4.46,81.91
2022-10-12,21.87,4.04,80.43
2022-10-13,22.27,1.95,77.69
2022-10-14,22.29,2.13,77.67
2022-10-15,21.94,20.69,79.19
2022-10-16,20.78,5.29,86.95
2022-10-17,21.72,17.37,81.17
2022-10-18,21.25,3.44,83.96
2022-10-19,20.02,7.11,90.74
2022-10-20,21.4,6.34,83.25
2022-10-21,22.38,4.49,78.17
2022-10-22,22.0,4.43,78.02
2022-10-23,22.6,0.16,74.73
2022-10-24,23.41,0.14,69.34
2022-10-25,23.47,0.22,69.12
2022-10-26,23.55,0.33,72.8
2022-10-27,23.02,1.07,76.94
2022-10-28,23.46,1.52,74.57
2022-10-29,22.99,5.72,77.96
2022-10-30,22.75,3.88,76.13
2022-10-31,23.03,0.77,74.69
2022-11-01,23.7,0.31,71.82
2022-11-02,21.67,8.25,83.09
2022-11-03,20.8,38.87,85.86
2022-11-04,21.64,1.88,79.79
2022-11-05,22.28,2.03,79.56
2022-11-06,22.15,2.36,80.6
2022-11-07,21.95,0.95,79.17
2022-11-08,21.93,5.73,79.04
2022-11-09,22.34,0.39,76.65
2022-11-10,21.53,0.88,82.61
2022-11-11,21.37,1.85,82.71
2022-11-12,20.5,10.32,89.51
2022-11-13,20.75,22.73,83.71
2022-11-14,21.9,1.43,78.92
2022-11-15,21.45,5.74,84.68
2022-11-16,22.61,2.64,77.73
2022-11-17,21.51,7.57,85.77
2022-11-18,21.74,0.69,80.61
2022-11-19,21.36,0.89,80.22
2022-11-20,22.06,4.53,78.64
2022-11-21,22.45,0.54,73.56
2022-11-22,22.17,4.98,77.49
2022-11-23,21.47,6.65,81.39
2022-11-24,21.21,4.51,81.85
2022-11-25,22.07,23.38,77.93
2022-11-26,21.52,31.75,83.9
2022-11-27,21.73,3.68,83.43
2022-11-28,20.74,2.76,87.28
2022-11-29,21.15,2.28,83.0
2022-11-30,22.27,2.55,77.52
2022-12-01,22.26,4.72,76.04
2022-12-02,21.97,0.26,75.02
2022-12-03,22.49,0.1,73.9
2022-12-04,23.06,4.38,73.79
2022-12-05,22.15,7.26,78.9
2022-12-06,21.74,1.06,80.09
2022-12-07,21.82,2.98,79.3
2022-12-08,21.19,19.53,84.9
2022-12-09,21.6,8.09,82.78
2022-12-10,21.66,1.89,80.91
2022-12-11,20.77,22.07,84.68
2022-12-12,22.17,9.0,79.12
2022-12-13,20.87,11.04,85.45
2022-12-14,21.36,5.26,80.17
2022-12-15,21.82,1.06,75.17
2022-12-16,22.16,0.7,74.63
2022-12-17,21.9,14.66,79.25
2022-12-18,22.67,4.7,74.48
2022-12-19,22.53,1.43,72.68
2022-12-20,22.81,0.33,68.31
2022-12-21,21.59,10.47,78.95
2022-12-22,22.08,1.18,76.15
2022-12-23,22.4,1.59,76.08
2022-12-24,21.45,2.69,84.79
2022-12-25,20.11,6.01,85.82
2022-12-26,21.69,3.0,77.83
2022-12-27,20.66,2.9,84.64
2022-12-28,20.69,3.11,86.52
2022-12-29,22.17,0.36,78.78
2022-12-30,22.03,0.07,71.9
2022-12-31,22.1,0.01,69.23
2023-01-01,22.15,0.0,64.25
2023-01-02,22.14,0.04,66.81
2023-01-03,22.26,0.31,74.38
2023-01-04,22.23,0.04,72.11
2023-01-05,22.82,0.18,64.35
2023-01-06,23.31,0.0,58.55
2023-01-07,23.27,0.0,59.8
2023-01-08,23.76,0.74,62.99
2023-01-09,23.0,1.86,68.79
2023-01-10,21.55,5.38,78.93
2023-01-11,21.98,3.67,75.58
2023-01-12,22.47,4.37,72.22
2023-01-13,22.28,0.58,70.67
2023-01-14,23.18,0.15,64.68
2023-01-15,23.32,0.02,63.12
2023-01-16,23.98,0.14,61.58
2023-01-17,23.41,0.06,61.26
2023-01-18,23.71,0.02,61.87
2023-01-19,24.24,0.01,62.78
2023-01-20,24.12,0.34,65.4
2023-01-21,24.92,0.01,60.1
2023-01-22,24.48,0.01,59.97
2023-01-23,23.55,0.92,66.37
2023-01-24,23.91,2.87,69.98
2023-01-25,23.36,1.21,72.24
2023-01-26,22.85,2.75,71.5
2023-01-27,23.5,0.84,70.8
2023-01-28,23.65,0.06,62.04
